FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, GROUND, GROUND, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST,
FOREST, FOREST, FOREST, FOREST, CAVE, FOREST, FOREST_CORNER_4, GROUND, GROUND, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST,
FOREST, FOREST, FOREST, FOREST_CORNER_4, GROUND, GROUND, GROUND, GROUND, GROUND, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST,
FOREST, FOREST, FOREST_CORNER_4, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST,
FOREST, FOREST_CORNER_4, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, FOREST_CORNER_3, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST,
GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND,
FOREST_TOP, FOREST_CORNER_2, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, FOREST_TOP, FOREST_TOP,
FOREST, FOREST, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, FOREST, FOREST,
FOREST, FOREST, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, FOREST, FOREST,
FOREST, FOREST, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST, FOREST,
FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST,
