FOREST, FOREST, BUSH, GROUND, BUSH, GROUND, BUSH, GROUND, GROUND, BUSH, GROUND, BUSH, GROUND, BUSH, GROUND, BUSH,
FOREST, FOREST, BUSH, GROUND, BUSH, GROUND, BUSH, GROUND, GROUND, BUSH, GROUND, BUSH, GROUND, BUSH, GROUND, BUSH,
FOREST, FOREST, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND,
FOREST, FOREST_CORNER_4, GROUND, GROUND, GROUND, GROUND, BUSH, GROUND, GROUND, BUSH, GROUND, BUSH, GROUND, BUSH, GROUND, GROUND,
FOREST_CORNER_4, GROUND, BUSH, GROUND, BUSH, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND,
GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, BUSH, GROUND, GROUND, BUSH, GROUND, BUSH, GROUND, BUSH, GROUND, GROUND,
FOREST_CORNER_2, GROUND, BUSH, GROUND, BUSH, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND,
FOREST, FOREST_CORNER_2, GROUND, GROUND, GROUND, GROUND, BUSH, GROUND, GROUND, BUSH, GROUND, BUSH, GROUND, BUSH, GROUND, GROUND,
FOREST, FOREST, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND,
FOREST, FOREST, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH,
FOREST, FOREST, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH, BUSH,
