FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, GROUND, GROUND, FOREST, FOREST,
FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST_CORNER_4, GROUND, GROUND, FOREST, FOREST,
GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, FOREST, FOREST,
GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, TREE, GROUND, GROUND, GROUND, GROUND, GROUND, FOREST_CORNER_3, FOREST,
GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, TREE, GROUND, GROUND, GROUND, GROUND, FOREST_CORNER_3,
GROUND, GROUND, TREE, GROUND, GROUND, TREE, GROUND, GROUND, TREE, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND,
GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, TREE, GROUND, GROUND, GROUND, GROUND, FOREST_CORNER_1,
GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, TREE, GROUND, GROUND, GROUND, GROUND, GROUND, FOREST_CORNER_1, FOREST,
GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, FOREST, FOREST,
FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST, FOREST,
FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST,
