FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST,
FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST,
FOREST, FOREST_CORNER_4, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, FOREST_CORNER_3, FOREST_CORNER_4, GROUND, GROUND, GROUND, FOREST_CORNER_3, FOREST,
FOREST_CORNER_4, GROUND, GROUND, TREE, GROUND, TREE, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, TREE, GROUND, GROUND, FOREST_CORNER_3, 
GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, 
GROUND, GROUND, GROUND, TREE, GROUND, TREE, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, TREE, GROUND, GROUND, GROUND, 
GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, 
FOREST_CORNER_2, GROUND, GROUND, TREE, GROUND, TREE, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, TREE, GROUND, GROUND, FOREST_CORNER_1,
FOREST, FOREST_CORNER_2, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, GROUND, FOREST_CORNER_1, FOREST_CORNER_2, GROUND, GROUND, GROUND, FOREST_CORNER_1, FOREST,
FOREST, FOREST, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST_TOP, GROUND, GROUND, FOREST, FOREST, FOREST_TOP, FOREST_TOP, FOREST_TOP, FOREST, FOREST,
FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, GROUND, GROUND, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST, FOREST,
