CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL,
CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL,
CAVE_WALL, CAVE_WALL, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_WALL, CAVE_WALL,
CAVE_WALL, CAVE_WALL, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_WALL, CAVE_WALL,
CAVE_WALL, CAVE_WALL, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_WALL, CAVE_WALL,
CAVE_WALL, CAVE_WALL, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_WALL, CAVE_WALL,
CAVE_WALL, CAVE_WALL, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_WALL, CAVE_WALL,
CAVE_WALL, CAVE_WALL, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_WALL, CAVE_WALL,
CAVE_WALL, CAVE_WALL, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_GROUND, CAVE_WALL, CAVE_WALL,
CAVE_WALL, CAVE_WALL, CAVE_WALL_TOP, CAVE_WALL_TOP, CAVE_WALL_TOP, CAVE_WALL_TOP, CAVE_WALL_TOP, CAVE_GROUND, CAVE_GROUND, CAVE_WALL_TOP, CAVE_WALL_TOP, CAVE_WALL_TOP, CAVE_WALL_TOP, CAVE_WALL_TOP, CAVE_WALL, CAVE_WALL,
CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_GROUND, CAVE_GROUND, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL, CAVE_WALL,
